breed,origin,horns,purpose,physical_traits,milk_yield,color,other_info
Hariana,"Native to Rohtak, Hisar, Jind, and Gurgaon districts of Haryana; also found in parts of Western Uttar Pradesh and Rajasthan","Smooth, glossy, somewhat horizontal; grow longer, curving upward and inward in bullocks",Dual-purpose — milk and draught,"Strong, compact, graceful body; long and thin head; flat bony forehead; narrow face; small sharp ears; long slender neck; prominent dewlap, no naval flap; males have large hump; thin tapering tail with black switch; sturdy limbs with black hooves; well-developed udder and prominent milk veins",1400–2300 kg/lactation; fat content 4.3–5.3%; age at first calving 40–61 months; inter-calving 13–18 months,Generally white or light grey; bullocks are dark grey,Evolved from several native breeds; hardy and efficient draught animal—can pull one-ton load at 2 mph for 20 miles; near threatened due to crossbreeding trends; conservation efforts by Haryana Livestock Development Board (HLDB) and Goshalas; current population ~16.5 lakh
Gir,"Originated from the Gir Forest and surrounding districts of the Saurashtra region, Gujarat","Long, sweeping backward and spiraling upward",Gir is a dual-purpose breed mainly used for high-quality milk production and light draught work.,Large head with domed forehead and narrow face; long pendulous ears; hooded black-pigmented eyes; short glossy coat; whip-like tail; heavy build with docile temperament,High-yielding dairy breed; in India averages 1200–1800 kg/lactation; in Brazil can produce up to 62 liters/day,Red or speckled red and white; varied coat colors with dark pigmented skin,Gentle and affectionate with humans; highly disease-resistant; tolerant to heat; one of the best Indian dairy breeds; population of pure Gir cows declining (~3000 in Gujarat); exported to Brazil for dairy improvement programs
Sahiwal,"Originated from Sahiwal district (Punjab, Pakistan); found in Haryana (Rohtak, Karnal, Hissar, Gurgaon), Delhi, and Western Uttar Pradesh",Short and almost horizontal in females; longer and curving upward and inward in bullocks,Dual-purpose — milk and draught,Medium-heavy build; long narrow face; long drooping ears; sturdy long legs; compact barrel; thin short tail; big hump in males (136 cm at withers); females ~120 cm; quivering skin resists ticks,1500–2200 liters/lactation; fat content ~4.5%; lactation period ~235 days,Reddish brown to deep red with white patches on neck and underline; males darker at extremities,"Docile, heat- and drought-tolerant, parasite-resistant; high adaptability (exported to Africa & Caribbean); purebred numbers declining; promoted by Punjab’s “Sahiwal Cattle Society” for conservation and propagation"
Red_Sindhi,"Originated in Mahal Kohistan region (Sindh, Pakistan) — including Karachi, Thattha, and Dadu districts; found in Orissa, Tamil Nadu, Bihar, Kerala, and Assam","Thick, short, curved horns emerging laterally with blunt tips; thick and stumpy in males, thin in females",Primarily dairy (milch) breed; also used for light draught and field work,"Medium-sized, compact, well-proportioned body; broad flat forehead; medium face with black muzzle; moderate dewlap and sheath; short neck; round drooping hindquarters; black tail switch; capacious udder with medium teats; males 130 cm height, 450 kg; females 120 cm height, 320 kg",1100–2600 kg/lactation (avg 1840 kg); up to 5450 kg in 300 days; fat 4–5.2% (avg 4.5%); lactation ~265 days,Deep red to reddish-brown or yellowish-red; darker in males on shoulders and thighs; occasional white patches on dewlap and forehead,"Highly heat- and tick-resistant; docile temperament; steady worker bullocks; originated from Las Bela cattle; exported to 33 countries; population < 70,000 (2013); urgent conservation and genetic management needed"
Hallikar,"Native breed originated from the former princely state of Vijayanagar, now part of Karnataka; predominantly found in Mysore, Mandya, Hassan, Bangalore, Kolar, Chitradurga, and Tumkur districts of Karnataka. Also known as the Mysore breed.","Long, vertical, and backward-bending horns.",Best known for draught and trotting ability,"Medium-sized and muscular body; long compact frame with slender legs; prominent bulging forehead; long tapering face with grey to black muzzle; males have large humps; thin, moderately developed dewlap; small tucked-up sheath; fine tail with black switch below hocks; males ~340 kg, females ~227 kg.",Average lactation yield ~540 kg; fat content ~5.7%; lactation length ~285 days; calving interval ~600 days.,"Grey to dark grey with deep shading on fore and hind quarters; light grey markings on face, dewlap, and underbody.",One of South India’s best draught breeds; foundation for several southern breeds including Amrit Mahal; bred by professional breeders and cultivators; maintained under semi-intensive system; selectively bred by Karnataka government; herds maintained at Turuvekere and Hesaraghatta; commemorated by Government of India postage stamp (2000).
Amritmahal,"Native to the State of Mysore in Karnataka; developed in the mid-1800s by the rulers of Mysore by crossbreeding the Hallikar, Hagalavadi, and Chithradurg breeds to create a hardy draught breed suited to the local terrain.","Horns emerge close together from the top of the head, curve upward and backward, and end in sharp black points (“swords for horns”).",Primarily draught breed (used for transport and war purposes),"Majestic, compact, and muscular body; long tapering head with slightly bulging, furrowed forehead; small yellow-lined ears; thin dewlap and small sheath; well-developed hump (~8 inches in bulls); strong neck, broad loins, level back and rump; medium, well-proportioned legs; small, hard hooves; thin black skin with glossy short hair; average height 50–52 inches; noted for endurance and speed.",Average 1000–1200 kg/lactation; calving interval ~600 days; poor milking capacity overall.,"Various shades of grey — from white to almost black; white-grey markings on face and dewlap; muzzle, feet, and tail switch black (lighter in older animals).","Developed as a war and transport breed by Mysore rulers; classified as gun and pack bullocks; wild temperament when unhandled, but highly efficient once trained; thrive on minimal food without losing stamina; on verge of extinction; small village groups and Kaval lands used for conservation; efforts by Animal Husbandry Department ongoing; requires stronger preservation measures; symbol of Mysore’s livestock heritage."
Khillari,"Originated in Satara district of Maharashtra; also native to Ahmednagar, Sangli, Kolhapur & Solapur; found in Bijapur, Dharwar, and Belgaum districts of Karnataka; closely related to the Hallikar breed; includes nine subtypes (Atpadi, Mhaswad, Pandharpuri, Kosa, Harnya, Daphlya, Bramhani, Dhangiri, Nakli).","Long, narrow horns sweeping back and upwards in a bow, tapering to fine points; typically black, sometimes pink.","Primarily draught (farm work, racing, transport).","Compact, muscular body with lean long face, tight skin, clear features; long narrow head with convex forehead bulge; small sideways-held ears (pale yellow inside); elongated small eyes with thick folds; height 4.5–5.5 ft; weight 350–450 kg; stout legs with black hooves; short neck with light dewlap; firm moderate hump in males; strong shoulders and hindquarters; tight sheath/navel flap; tail reaching hock joint; quick and spirited gait.",Low; considered poor milker compared to other breeds.,"Generally grey-white; varies by subtype — Mhaswad & Atpadi Mahal types are grayish white (males darker on fore/hindquarters with grey-white facial spots); Tapti type is white with carroty nose/hooves; Nakli type gray with tawny tinge; newborns rust-red-headed, fading after birth; fine, short, glossy hair.","Known for speed, strength, and endurance in tropical, drought-prone regions; classified as “medium fast draught”; steady population decline due to low milk yield; selectively bred in Maharashtra (Hingoli, Jath, Junoni) and Karnataka (Bankapur); part of Rashtriya Gokul Mission for conservation under Livestock Development Boards (LDBs); Surabhivana supports preservation efforts."
Kangayam,"Native to Kangeyam taluka of Tamil Nadu — includes Erode, Karur, Namakkal, and Dindigul districts; also known as “Kanganad” or “Kongu”; conforms to Southern Indian Mysore type with some Ongole influence.","Smaller variety: horns short, spreading apart, curving backward; larger variety: long horns curving out, back, and almost completing a circle at tips.",Primarily draught; adaptable to poor nutrition.,"Compact, muscular, and active with short, stout legs; strong hooves and well-sprung ribs; moderate-sized head with prominent forehead; dark eyes with black rings; small erect pointed ears; well-developed firm hump; short thick neck; back short, broad, and level; thin dewlap extending to sternum; sheath tight; udder soft but small with fine texture and small teats; tail moderate with black switch; tough, fine-textured skin.",18–20 litres during peak period (but considered poor milker overall).,"Males generally gray with dark gray to black on head, neck, hump, and quarters (color fades in castrated males); cows white or light gray with deep gray markings on knees and above fetlocks; calves red at birth, turning white or gray by 3–4 months; skin strong, tight, and dark-pigmented; hair fine and short.","Robust, drought-tolerant draught breed; known for endurance and adaptability to harsh, low-nutrition conditions; smaller variety found in Kangayam, Dharampuram, Udmalpet, Pollachi, and Erode; larger type in Karur, Aravakurchi, and Dindigul; bred in purity by Pattagars of Palayakottai; Senapathy Kangayam Cattle Research Foundation (Erode, Tamil Nadu) works actively for breed conservation; facing decline due to crossbreeding policies."
Bargur,"Native to Bargur hills in Anthiyur Taluka, Erode district, Western Tamil Nadu; raised by Kannada-speaking Lingayats of the region; also known as “Semmarai” in Tamil Nadu.","Thin, light brown horns emerging close at roots, inclined backward, outward and upward, curving sharply forward at the tips.",Dual-purpose (draught + milk); well-suited for hilly terrain.,"Medium-sized, compact, tight-skinned body; well-shaped long head tapering to muzzle; moderately broad forehead; short horizontal ears; moderate hump; well-arched ribs; short dewlap; tight sheath; medium legs; short tail with brown switch; small cylindrical teats; small udder closely attached; inconspicuous navel flap; males avg 126 cm height, females 116 cm; strong brown/black hooves; agile and alert temperament.",2–3 litres/day; 250–1300 kg/lactation (avg ≈ 350 kg).,"Typically red with white patches; coat varies from cherry red to light red; full white or reddish brown also occur; skin red; hair short, straight, fine, brown and white; muzzle and eyelashes brown; hooves brown or black.","Hardy, fiery, and aggressive temperament; highly adapted to hilly and forested terrains; known for speed, endurance, and trotting ability; used in “Jallikattu” bull-taming sport; maintained in semi-wild forest enclosures (“Pattys”) under zero-input systems; Surabhivana Gaushala and other organizations engaged in conserving this native breed; scientific breeding programs underway to enhance milk yield."
Umblachery,"Native to Thanjavur, Thiruvarur, and Nagapattinam districts of Tamil Nadu, India; originated in Umblachery village (Nagapattinam); also known as Jathi Madu, Mottai Madu, Molai Madu, or Therkathi Madu.","Black, short, pointed, medium-thick horns; bullocks are typically dehorned (unique regional practice).","Draught breed; used for ploughing, carting, thrashing, and paddy-field work.","Medium-sized, docile cattle; short erect ears; slightly broad forehead with shallow groove and white star; small black hooves (sometimes white); medium-sized hump (larger in bulls); strong legs; short thin dewlap; small bowl-shaped udder; teats small and well apart; long tail tapering below hock; compact body with tight skin; males 268–297 kg, females 219 kg; males 112–117 cm height, females ~105 cm; heart girth males ~150 cm, females ~135 cm.",≈ 494 kg/lactation; fat content ~4.94%; lactation length ≈ 245 days.,"Calves red or brown at birth turning grey with age; bullocks dark grey with black extremities; cows grey with lighter shade on face, neck, and hip; white markings on face, limbs, and tail (leg markings resemble socks); black muzzle and eyelids; white or partly white tail switch.",Distinct for dehorning and ear pruning of bullocks at 10–12 months; capable of working continuously 6–7 hours under hot sun; ideal for marshy paddy fields; declining population due to crossbreeding and habitat shrinkage; conservation farms at Orathanadu and Korukkai (Tamil Nadu); government and local efforts ongoing but need strengthening.
Pulikulam,"Originated from Pulikulam village, Sivaganga district, Tamil Nadu; breeding tracts in Madurai, Sivaganga, and Virudhunagar districts; also known as Palingu Maadu, Mani Maadu, Jallikattu Maadu, Mattu Maadu, or Kilakattu Maadu.","Long, extended horns curved outward, upward, backward, and then inward with sharp pointed tips widely spaced apart.",Draught and game breed; used in ploughing and traditional Jallikattu events.,"Small-sized, compact, strong-bodied, and active; short legs; narrow dark face with tight skin; small pointed ears; prominent forehead with central groove; dark large hump in males, smaller in females; thick dewlap; short penis sheath flap; strong legs and feet adapted for running; udder small and not well-developed; males ~259 kg, females ~208 kg; male height ~117 cm, female height ~112 cm; body length males ~119 cm, females ~114 cm; chest girth males ~150 cm, females ~139 cm.",~0.5–3 kg/day; average ~1.25 kg/day; calving interval 1.5–2 years; first calving at 4–4.5 years.,"Males are dark grey; females are white or grey; white markings on forehead, limbs, and tail; muzzle, eyelids, hooves, and tail switch are black.","Maintained as migratory herds by traditional Konar and Thevar communities; lifespan ~20 years with 8–10 calvings; only 10–15% of cows milked for home use; population declined from ~45,000 (2006) to ~7,500 (2013); conservation efforts led by SEVA (Sustainable Agriculture and Environmental Voluntary Action), Madurai; vital for organic farming and rural livelihoods."
Alambadi,"Originated from Alambadi village on the banks of river Kaveri, Dharmapuri district, Tamil Nadu; also found in Erode district and hilly regions of upper Kaveri basin (Mettur, Pennagaram, Kollegal, Bangalore rural). Believed to have descended from Hallikar breed of Mysore. Bred mainly by Konga Vellalas, Lingayats, Vanniyars, and Vokkaligas.",Sweeping horns curving backward and ending in sharp points.,Draught breed; used for agricultural work and transport.,"Medium to large size with deep, compact body and loose frame; well-arched ribs, heavy shoulders, tight skin; dark moderately long head with narrow face and prominent bulging forehead; short thick neck; broad thick dewlap; small pointed ears; large well-developed hump; small to medium penis sheath; medium long tail tapering to black switch; short strong legs; large hard feet with prominent coronary band; narrow sloping hindquarters; males ~347 kg, females ~282 kg; male height ~124 cm, female ~115 cm; male body length ~134 cm, female ~124 cm; chest girth males ~167 cm, females ~155 cm.",Moderate yield; milk quality fair but generally poor milkers.,"Coat varies in shades of grey, dark grey, black, and fawn; some with flesh-colored or dark skin with black muzzle; white markings on forehead, limbs, and tail.","Highly heat-tolerant and disease-resistant; can survive on forest grazing and dry fodder; semi-wild lifestyle (July–January in forests, penned at night); calving interval 16–24 months; provides manure for agriculture during harvest seasons; population critically low and nearing extinction; decline due to crossbreeding, mechanization, and loss of grazing land; conservation urgently needed to preserve this rare native breed."
Tharparkar,Originated from the Thar Desert of Rajasthan; native to Tharparkar district of southeast Sindh (now in Pakistan); also found along the Indo-Pak border in western Rajasthan and extending up to the Rann of Kutch in Gujarat.,"Lyre-shaped horns curving gradually upward and outward; males have thicker, shorter, straighter horns.",Dual-purpose (milk and draught breed).,"Medium-sized, strongly built, deep-bodied cattle with straight limbs and good feet; average height ~138 cm; males ~408 kg, females ~350 kg; head medium-sized with broad, slightly convex forehead; full bright eyes with black eyelashes; long broad semi-pendulous ears facing forward; fine mellow skin with moderate dewlap; firm moderate hump (larger in males); semi-pendulous sheath in males; variable prominent navel flap in females; light shoulders; comparatively short legs; hard black hooves of moderate size; active and alert carriage.",~2000 kg per lactation (≈ 7–8 litres/day under good care).,"Generally white or gray with black shading on neck, hump, and hindquarters; light gray stripe along the backbone; coat deepens in color during winter and pregnancy; black, red, or mixed color variants occasionally occur.","Highly drought- and disease-resistant; hardy under extreme desert conditions; age at maturity ~36 months, first calving ~45 months, calving interval ~410 days; thrives even under heat and feed scarcity; selected as part of National Agriculture Development Programme for expansion in Tamil Nadu; cattle transported from Jaisalmer to Chettinad adapted well, producing 7–8 litres milk/day; Surabhivana Gaushala supports conservation and promotion of this resilient native dual-purpose breed."
Kankrej,"Originated from the Kankrej district of North Gujarat, India; also known as Bannai, Nagar, Talabda, Vaghiyar, Wagad, Waged, Wadhiar, Wadhir, or Wadial.",Strong lyre-shaped horns covered with skin higher up than in other breeds.,Dual-purpose: valued for both milk and powerful draught work.,"Large, heavy yet active and strong cattle; broad forehead slightly dished at center; large pendulous open ears; short face with slightly upturned nose; medium-thick, darkly pigmented, loose skin; thin but pendulous dewlap; males have prominent but less firm humps; shapely legs with small, round, durable feet; sleek coat; black tail switch.",Fair milk producers; good lactation yield for dual-purpose breed.,"Coat color ranges from silver gray to iron gray or steel black; males usually darker on forequarters, hump, and hindquarters; hair soft and short with black tail switch.",One of the heaviest and most prized Indian cattle breeds; highly resistant to tick fever and other diseases; excellent heat tolerance and pest resistance; bulls commonly used for agricultural and road transport work; foundation breed for the Guzerat cattle in Brazil and similar strains in Latin America and the USA; known for stamina and endurance in hot climates.
Ongole,"Originated from the coastal districts of Guntur, Prakasham, and Nellore in Andhra Pradesh; reared across Kurnool, Cuddapah, and parts of Mahabubnagar; developed under farmers’ care in the deltas of Penna, Krishna, and Godavari rivers.","Short, stumpy horns growing outward and backward; thick at base and firm without cracks.",Dual-purpose: valued for both milk and draught work (ploughing and cart pulling).,"Large-sized cattle with loosely knit frames and long bodies; short neck; long, muscular limbs; broad forehead; elliptical eyes with black ring and eyelashes; deep and wide chest; strong legs with straight toes; short tail with sloping tail head; moderately long, slightly drooping ears; large fleshy dewlap hanging to navel flap; slightly pendulous sheath; erect, well-developed hump in bulls; bulls weigh ~500 kg, 1.5 m height, 1.6 m length, 2 m girth; cows weigh 432–455 kg.",600–2518 kg per lactation; ~5% butterfat; lactation lasts about 279 days.,"Glossy white coat; some males have grey markings on hump and hindquarters; skin medium-thick, mellow, elastic with occasional black mottled markings.","First Indian cattle breed to gain global fame; known for toughness, rapid growth, and disease resistance; exported widely to tropical countries (Americas, West Indies, SE Asia, Australia); saved South American cattle population during “mad cow disease” crisis; now endangered in India due to mechanization; ICAR running conservation programs for pure Ongole bulls."
